C/A,Unit,SCP,Station,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/16/2017,03:00:00,REGULAR,6408287,2168118
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/15/2017,23:00:00,REGULAR,6408286,2168118
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/15/2017,19:00:00,REGULAR,6408023,2168083
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/15/2017,15:00:00,REGULAR,6407268,2167997
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/15/2017,11:00:00,REGULAR,6407015,2167928
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/15/2017,07:00:00,REGULAR,6406872,2167595
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/15/2017,03:00:00,REGULAR,6406857,2167562
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/14/2017,23:00:00,REGULAR,6406849,2167560
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/14/2017,19:00:00,REGULAR,6406561,2167519
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/14/2017,15:00:00,REGULAR,6405758,2167438
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/14/2017,11:00:00,REGULAR,6405509,2167367
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/14/2017,07:00:00,REGULAR,6405376,2167049
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/14/2017,03:00:00,REGULAR,6405360,2167007
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/13/2017,23:00:00,REGULAR,6405360,2167007
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/13/2017,19:00:00,REGULAR,6405118,2166978
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/13/2017,15:00:00,REGULAR,6404320,2166893
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/13/2017,11:00:00,REGULAR,6404101,2166813
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/13/2017,07:00:00,REGULAR,6403958,2166524
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/13/2017,03:00:00,REGULAR,6403943,2166483
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/12/2017,23:00:00,REGULAR,6403925,2166477
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/12/2017,19:00:00,REGULAR,6403823,2166458
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/12/2017,15:00:00,REGULAR,6403592,2166421
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/12/2017,11:00:00,REGULAR,6403442,2166378
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/12/2017,07:00:00,REGULAR,6403397,2166329
